driver_gene,target_gene,mean_drive_gene_ref_dep_score_for_target,mean_drive_gene_mut_dep_score_for_target,delta_rnai_dep_score_driver_and_target,ref_pool_cell_lines_for_driver,mut_pool_cell_lines_for_driver,ref_dep_score_observations_for_target,mut_dep_score_observations_for_target
TP53 (7157),ABHD13 (84945),-0.020477752367643993,0.0031770423339692357,0.02365479470161323,20,99,20,99
TP53 (7157),ABHD14A (25864),0.08680727161484629,0.09856719410384875,0.011759922489002456,19,89,19,89
TP53 (7157),ABHD14A-ACY1 (100526760),0.007518992391236842,0.05551678005497933,0.047997787663742485,19,89,19,89
TP53 (7157),ABHD14B (84836),-0.0088513127849387,0.02980519998424826,0.03865651276918696,19,89,19,89
TP53 (7157),ABHD15 (116236),-0.13678221510199165,-0.09810944433307066,0.03867277076892099,12,78,12,78
TP53 (7157),ABHD16A (7920),-0.04834890283265789,-0.074278022497704,-0.02592911966504611,19,89,19,89
TP53 (7157),ABHD16B (140701),-0.05472057936412314,0.009152672148371484,0.06387325151249462,19,89,19,89
TP53 (7157),ABHD17A (81926),0.06652639515176316,-0.02387356689039057,-0.09039996204215373,19,89,19,89
TP53 (7157),ABHD17B (51104),0.1266794712333842,0.172915783214514,0.04623631198112982,19,89,19,89
TP53 (7157),ABHD2 (11057),-0.12931879399626311,-0.1365319755601652,-0.007213181563902077,19,89,19,89
TP53 (7157),ABHD3 (171586),-0.04542787059346316,-0.06130845062835273,-0.01588058003488957,19,89,19,89
TP53 (7157),ABHD4 (63874),-0.05887949986487369,0.011137445728361083,0.07001694559323476,19,89,19,89
TP53 (7157),ABHD5 (51099),-0.036920957295338945,-0.04770225206547719,-0.010781294770138242,19,89,19,89
TP53 (7157),ABHD6 (57406),0.01920962194892416,0.05515448307331551,0.03594486112439135,12,78,12,78
TP53 (7157),ABHD8 (79575),0.06095892445911789,0.07530073172878093,0.014341807269663047,19,89,19,89
TP53 (7157),ABI1 (10006),-0.06988594233730833,-0.029630474066325352,0.040255468270982975,18,97,18,97
TP53 (7157),ABI2 (10152),-0.034491627822925,-0.03668565796681173,-0.0021940301438867285,12,78,12,78
TP53 (7157),ABI3 (51225),-0.03214517677456333,-0.025014734645731763,0.007130442128831564,12,78,12,78
TP53 (7157),ABL1 (25),-0.11757988262910005,-0.1095585402572805,0.008021342371819548,20,99,20,99
TP53 (7157),ABL2 (27),-0.00012105871123500173,-0.06265338774296587,-0.06253232903173087,20,99,20,99
TP53 (7157),ABLIM1 (3983),-0.06894557874526316,0.009913697905770109,0.07885927665103327,19,89,19,89
TP53 (7157),ABLIM2 (84448),-0.028571768261174996,-0.06108604520648854,-0.032514276945313544,12,78,12,78
TP53 (7157),ABLIM3 (22885),-0.23019867232690425,-0.11960851549011162,0.11059015683679263,19,89,19,89
TP53 (7157),ABO (28),0.013514736293684212,0.08014444769302931,0.06662971139934509,19,89,19,89
TP53 (7157),ABR (29),0.005357269785260002,0.03721946553253353,0.03186219574727353,20,99,20,99
TP53 (7157),ABRA (137735),0.008646081849006842,0.022262368975917192,0.01361628712691035,19,89,19,89
TP53 (7157),ABRAXAS1 (84142),0.02467074265315222,0.003803521508570109,-0.02086722114458211,18,97,18,97
TP53 (7157),ABRAXAS2 (23172),-0.12927988547345834,-0.18373087716762276,-0.054450991694164425,12,78,12,78
TP53 (7157),ABT1 (29777),-0.14395826327152472,-0.09254649285691718,0.05141177041460754,19,89,19,89
TP53 (7157),ABTB1 (80325),-0.11744020911873891,-0.14682134619601536,-0.02938113707727645,18,97,18,97
TP53 (7157),ABTB2 (25841),-0.02876121370303889,0.030298745757729086,0.059059959460767975,18,97,18,97
TP53 (7157),ACAA1 (30),0.034288388138905494,0.05491904738950795,0.020630659250602458,20,99,20,99
TP53 (7157),ACAA2 (10449),0.06492701493536841,0.15831035680067418,0.09338334186530577,19,89,19,89
TP53 (7157),ACACA (31),-0.08065833071907999,-0.06128016682920878,0.01937816388987121,20,99,20,99
TP53 (7157),ACACB (32),-0.084297061008562,-0.10430840996703555,-0.02001134895847355,20,99,20,99
TP53 (7157),ACAD10 (80724),-0.11992676197581151,-0.11816451289876545,0.0017622490770460575,20,99,20,99
TP53 (7157),ACAD11 (84129),0.03792663663396,-0.09289584177876126,-0.13082247841272127,20,99,20,99
TP53 (7157),ACAD8 (27034),0.0588512081446775,0.025203586577588685,-0.033647621567088816,20,99,20,99
TP53 (7157),ACAD9 (28976),-0.1705326685116941,-0.13354848453716942,0.03698418397452469,20,99,20,99
TP53 (7157),ACADL (33),-0.015774184952521496,-0.009874058680466261,0.005900126272055235,20,99,20,99
TP53 (7157),ACADM (34),-0.04509683914872449,-0.04120773861261636,0.0038891005361081296,20,99,20,99
TP53 (7157),ACADS (35),-0.13798179133968552,-0.16730202684416842,-0.0293202355044829,20,99,20,99
TP53 (7157),ACADSB (36),-0.0034725468119558996,-0.030584495918269602,-0.027111949106313704,20,99,20,99
TP53 (7157),ACADVL (37),-0.0607618034530925,-0.018982277350177063,0.04177952610291544,20,99,20,99
TP53 (7157),ACAN (176),0.006789891615294437,0.0757912770508858,0.06900138543559137,18,97,18,97
TP53 (7157),ACAP1 (9744),-0.08194493129650048,-0.115484732968591,-0.03353980167209053,20,99,20,99
TP53 (7157),ACAP2 (23527),0.027230433799330003,0.02977756639277234,0.0025471325934423375,18,97,18,97
TP53 (7157),ACAP3 (116983),0.045107427543134994,-0.035907548375503,-0.08101497591863799,18,97,18,97
TP53 (7157),ACAT1 (38),-0.039548821246649005,-0.024946129844512218,0.014602691402136787,20,99,20,99
TP53 (7157),ACAT2 (39),-0.12908957008905791,-0.15468617190935308,-0.02559660182029516,19,89,19,89
TP53 (7157),ACBD3 (64746),0.016209162078373158,0.03472321104491664,0.01851404896654348,19,89,19,89
TP53 (7157),ACBD4 (79777),0.04121950626261667,0.04720502342618117,0.005985517163564505,12,78,12,78
TP53 (7157),ACBD5 (91452),0.022473319306519003,0.03253216269307566,0.01005884338655666,20,99,20,99
TP53 (7157),ACBD6 (84320),0.01997220632771667,0.083991837391624,0.06401963106390733,12,78,12,78
TP53 (7157),ACCS (84680),-0.14353510689800647,-0.12984379420034445,0.013691312697662023,20,99,20,99
TP53 (7157),ACCSL (390110),-0.00551257438146333,-0.04064461483987657,-0.035132040458413234,18,97,18,97
