drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
colfosceril-palmitate,['pulmonary surfactant'],-1.7244078277951806,798,-1
lidamidine,['adrenergic receptor agonist'],-1.6562376217379045,599,2
bicalutamide,['androgen receptor antagonist'],-1.640509940097969,736,-1
cimetidine,['histamine receptor antagonist'],-1.6000681275182762,753,0
tiludronate,"['bone resorption inhibitor', ' osteoclast inhibitor']",-1.518926551704517,761,-1
KI-16425,['lysophosphatidic acid receptor antagonist'],-1.5128598766569066,899,-1
SB-525334,['TGF beta receptor inhibitor'],-1.4929069501401846,779,-1
clobutinol,['antitussive'],-1.3756696031735294,617,-1
itraconazole,['cytochrome P450 inhibitor'],-1.348297948683882,333,-1
camylofine-chlorhydrate,['None'],-1.3195497761488961,720,1
alogliptin,['dipeptidyl peptidase inhibitor'],-1.317463351272998,790,-1
octopamine,['trace amine associated receptor agonist'],-1.2742099484361844,800,-1
isoxsuprine,['adrenergic receptor agonist'],-1.2533694703918605,505,2
cyclovirobuxin-d,['calcium channel modulator'],-1.2407257893635963,798,-1
nafcillin,['bacterial cell wall synthesis inhibitor'],-1.2210419614114116,750,-1
nimorazole,['bacterial DNA inhibitor'],-1.1762234734028694,760,-1
nitisinone,['hydroxyphenylpyruvate dioxygenase inhibitor'],-1.1541634428025234,752,-1
thiamine,['vitamin B'],-1.139262570096842,766,-1
DMH1,['ALK tyrosine kinase receptor inhibitor'],-1.1269326079744009,838,-1
riluzole,['glutamate inhibitor'],-1.0885695276319185,796,-1
halofantrine,['antimalarial agent'],-1.0513004604196365,893,-1
sangivamycin,['DNA inhibitor'],-1.039012058044898,653,15
altretamine,['DNA synthesis inhibitor'],-1.0350228399143797,368,-1
dorzolamide,['carbonic anhydrase inhibitor'],-1.0176948142122677,684,-1
dihydroergocristine,"['adrenergic receptor antagonist', ' prolactin inhibitor']",-1.0050794047979457,801,-1
azodicarbonamide,['DNA synthesis inhibitor'],-0.9944571611190687,868,-1
aztreonam,['bacterial cell wall synthesis inhibitor'],-0.9783232286182424,837,-1
monobenzone,['melanin inhibitor'],-0.97104548944492,697,-1
BMS-599626,"['EGFR inhibitor', ' protein tyrosine kinase inhibitor']",-0.9638751531234101,820,-1
azathioprine,['dehydrogenase inhibitor'],-0.9595153170158859,849,-1
NSC-23766,['Ras GTPase inhibitor'],-0.9570619668286521,774,-1
mephenytoin,['hydantoin antiepileptic'],-0.9419782909756735,779,-1
roquinimex,"['angiogenesis inhibitor', ' tumor necrosis factor production inhibitor']",-0.9419205050274887,718,-1
ingenol-mebutate,['PKC activator'],-0.940753406742009,902,-1
mechlorethamine,['DNA inhibitor'],-0.9223062683167741,821,15
pentagastrin,['CCK receptor agonist'],-0.9180978028007709,763,-1
lafutidine,['histamine receptor antagonist'],-0.9064253670723984,851,0
saxagliptin,['dipeptidyl peptidase inhibitor'],-0.9021905494654759,855,-1
ftorafur,['thymidylate synthase inhibitor'],-0.8876927384457522,876,-1
zaldaride,['calmodulin antagonist'],-0.8730074431026906,905,-1
ornithine,['NFkB pathway modulator'],-0.8709779929605019,837,-1
terbutaline,['adrenergic receptor agonist'],-0.8521988932052891,785,2
cebranopadol,['opioid receptor agonist'],-0.8319652821877033,854,-1
UK-383367,['Procollagen C-Endopeptidase Inhibitors'],-0.8276631870841896,888,-1
estramustine-phosphate,"['DNA synthesis inhibitor', ' microtubule inhibitor']",-0.8215619494995731,677,-1
ispinesib,['kinesin inhibitor'],-0.8048874120615801,925,-1
methylprednisolone,['glucocorticoid receptor agonist'],-0.8014859080258459,798,3
GSK2656157,['PERK inhibitor'],-0.7950930607473732,826,-1
4-pyrimidinecarbonitrile,['None'],-0.7929898064463226,876,1
RAF265,"['RAF inhibitor', ' VEGFR inhibitor']",-0.7894092066025918,900,-1
AZD9668,['elastase inhibitor'],-0.775991370346011,853,-1
orotic-acid,['None'],-0.770891610764078,764,1
sevelamer,['phosphate antagonist'],-0.7607945410539703,789,-1
forskolin,['adenylyl cyclase activator'],-0.7579091202153855,757,-1
golgicide-a,['ARF inhibitor'],-0.7524312305237711,867,-1
leucovorin,['folate receptor ligand'],-0.7400899504522834,740,-1
AS-703026,['MEK inhibitor'],-0.737792718578224,925,4
tacrolimus,['calcineurin inhibitor'],-0.7347826547415283,859,-1
morin,['cytochrome P450 inhibitor'],-0.7142028087808615,802,-1
filanesib,"['kinesin inhibitor', ' kinesin-like spindle protein inhibitor']",-0.7115117021292153,898,-1
pazopanib,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.6951272681730806,919,-1
BAY-K-8644-(s)-(-),['L-type calcium channel activator'],-0.6920463949812498,777,-1
azomycin-(2-nitroimidazole),['protein synthesis inhibitor'],-0.6917446314928751,725,5
camptothecin,['topoisomerase inhibitor'],-0.6831450476985008,746,6
temoporfin,['radical formation stimulant'],-0.6752253474663571,925,-1
exatecan-mesylate,['topoisomerase inhibitor'],-0.6703978592947112,505,6
talmapimod,['p38 MAPK inhibitor'],-0.6679612976037056,925,-1
bendroflumethiazide,['sodium/potassium/chloride transporter inhibitor'],-0.665480500138911,773,-1
G-1,['G protein-coupled receptor agonist'],-0.6630706335429782,884,-1
SR-27897,['CCK receptor antagonist'],-0.6614993771918414,844,-1
eptifibatide,['platelet aggregation inhibitor'],-0.6595759318238149,694,-1
masitinib,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' src inhibitor']",-0.65240583300297,721,-1
tilmicosin,['bacterial 50S ribosomal subunit inhibitor'],-0.6510195325240907,786,-1
A-803467,['sodium channel blocker'],-0.6495446795402237,822,7
tacalcitol,['vitamin D receptor agonist'],-0.6421696838796882,777,-1
stemregenin-1,['aryl hydrocarbon receptor antagonist'],-0.6395020938212079,672,-1
YM-201636,['PI3K inhibitor'],-0.6384156334769471,897,8
OTX015,['bromodomain inhibitor'],-0.637019726327593,693,-1
FERb-033,['EGFR inhibitor'],-0.6365754580688189,887,9
vemurafenib,['RAF inhibitor'],-0.6363340495123058,910,-1
meglitinide,['potassium channel blocker'],-0.6357293378593997,853,-1
rabeprazole,"['ATPase inhibitor', ' gastrin inhibitor']",-0.6353818331511191,691,-1
oxiracetam,['acetylcholine receptor agonist'],-0.6314679517913772,914,-1
odanacatib,['cathepsin inhibitor'],-0.6303900144338033,890,-1
RS-504393,['CC chemokine receptor antagonist'],-0.6292615797380698,868,-1
NVP-BVU972,['MET inhibitor'],-0.6281835360201153,803,-1
nadide,['electron acceptor'],-0.6264377377296472,766,-1
rigosertib,"['cell cycle inhibitor', ' PLK inhibitor']",-0.6254271811476187,917,-1
GTP-14564,"['FLT3 inhibitor', ' tyrosine kinase inhibitor']",-0.625403770443145,819,-1
taselisib,['PI3K inhibitor'],-0.6166934802983554,913,8
4-hydroxy-phenazone,['None'],-0.6146080857431527,763,1
CP-724714,"['EGFR inhibitor', ' protein tyrosine kinase inhibitor']",-0.6083437111219221,925,-1
GSK-3-inhibitor-IX,"['glycogen synthase kinase inhibitor', ' lipoxygenase inhibitor']",-0.6043047378360794,870,-1
piroxicam,['cyclooxygenase inhibitor'],-0.6033031585670308,716,10
hypericin,['tyrosine kinase inhibitor'],-0.6030801840360317,750,-1
ilomastat,['matrix metalloprotease inhibitor'],-0.5995547669255146,801,-1
carboplatin,"['DNA alkylating agent', ' DNA inhibitor']",-0.5918521088849149,857,-1
cromakalim,['None'],-0.5901403391333105,385,1
telotristat-ethyl,['tryptophan hydroxylase inhibitor'],-0.5861289707768103,603,-1
oxymetazoline,['adrenergic receptor agonist'],-0.5766572833658015,800,2
PF-04217903,['c-Met inhibitor'],-0.5754792125521564,843,-1
trans-4-Hydroxycrotonic-acid,['gamma hydroxybutyric acid ligand'],-0.5712475999476735,862,-1
cinacalcet,['calcium channel activator'],-0.56165113666565,924,-1
butylscopolamine-bromide,['cholinergic receptor antagonist'],-0.561135764074053,806,-1
chlorindanol,['None'],-0.5608276107115412,884,1
litronesib,['kinesin-like spindle protein inhibitor'],-0.5598994391863467,892,-1
ipsapirone,['serotonin receptor agonist'],-0.5579323960394346,663,-1
AS-1949490,['SHIP2 phosphatase inhibitor'],-0.5578056974770005,835,-1
nilotinib,"['Abl kinase inhibitor', ' Bcr-Abl kinase inhibitor']",-0.557007470239387,869,-1
chloropyramine,['histamine receptor antagonist'],-0.5564197430130643,294,0
flumatinib,['Bcr-Abl kinase inhibitor'],-0.5530125950890078,819,-1
resminostat,['HDAC inhibitor'],-0.5517535571445565,921,11
colforsin-daproate,['adenylyl cyclase activator'],-0.5516145616975469,818,-1
tiletamine,['glutamate receptor antagonist'],-0.5497022393754446,751,12
piperacetazine,['dopamine receptor antagonist'],-0.5490572720614232,768,13
SGI-1776,['Pim kinase inhibitor'],-0.5488738789773216,823,-1
epinephrine,"['adrenergic receptor agonist', ' neurotransmitter']",-0.5471337195571925,792,-1
phenazone,['cyclooxygenase inhibitor'],-0.537805201929737,791,10
norethindrone,['progesterone receptor agonist'],-0.5369887000027894,589,-1
enzalutamide,['androgen receptor antagonist'],-0.5328805080416786,682,-1
sulfabenzamide,['bacterial antifolate'],-0.5322873770705475,705,-1
AT13387,['HSP antagonist'],-0.5285407535069802,925,-1
VX-702,['p38 MAPK inhibitor'],-0.5243636302429763,837,-1
lidocaine,['histamine receptor agonist'],-0.5230360661933698,792,-1
tanshinone-i,['AP inhibitor'],-0.5202140415587634,786,-1
AZD2461,['PARP inhibitor'],-0.5183921476075444,839,-1
acesulfame-potassium,['None'],-0.5148730391358047,798,1
deflazacort,['glucocorticoid receptor agonist'],-0.5137546044881698,824,3
daclatasvir,['HCV inhibitor'],-0.5137086103126022,761,-1
beta-naphthol,['None'],-0.5121729374168364,783,1
fleroxacin,['topoisomerase inhibitor'],-0.5120157214101818,810,6
temocapril,['angiotensin converting enzyme inhibitor'],-0.510934382650115,744,-1
sertindole,"['dopamine receptor antagonist', ' serotonin receptor antagonist']",-0.509619752058987,865,-1
tedizolid,['bacterial 50S ribosomal subunit inhibitor'],-0.5090694585729967,874,-1
chlorquinaldol,['other antibiotic'],-0.5082268584824483,847,-1
hyodeoxycholic-acid,['atherosclerosis formation inhibitor'],-0.4959860683511117,809,-1
temozolomide,['DNA alkylating agent'],-0.49389506126798915,807,-1
streptozotocin,['DNA alkylating agent'],-0.4905425154880306,638,-1
CMPD-1,['p38 MAPK inhibitor'],-0.484603495132777,901,-1
dimethisoquin,['local anesthetic'],-0.4715084733287452,649,-1
nefiracetam,"['acetylcholine receptor agonist', ' benzodiazepine receptor agonist']",-0.471148825292211,884,-1
estradiol,['estrogen receptor agonist'],-0.46596320662990814,740,-1
piperazine,['benzodiazepine receptor agonist'],-0.4637967093137483,805,14
CPI-1189,['tumor necrosis factor release inhibitor'],-0.46326130208832456,925,-1
CI-844,['None'],-0.46278425396433176,811,1
KY02111,['Wnt pathway inhibitor'],-0.4625990206310072,735,-1
PSI-7976,['HCV inhibitor'],-0.46189520217644536,812,-1
creatine,['None'],-0.45859718908440983,787,1
phlorizin,['sodium/glucose cotransporter inhibitor'],-0.4551646862247921,779,-1
remoxipride,['dopamine receptor antagonist'],-0.45163389967014217,613,13
SB-200646,['serotonin receptor antagonist'],-0.4495995518009119,885,-1
ketoconazole,['sterol demethylase inhibitor'],-0.44787665727297493,700,-1
trovafloxacin,['bacterial DNA gyrase inhibitor'],-0.44325501547836993,818,-1
BTS-54505,['dopamine reuptake inhibitor'],-0.44294008893030606,670,-1
GSK256066,['phosphodiesterase inhibitor'],-0.44073984019077855,720,-1
cyt387,['None'],-0.43986216428633274,920,1
SB-239063,['p38 MAPK inhibitor'],-0.4352272696173586,864,-1
AZD2858,['glycogen synthase kinase inhibitor'],-0.43507209769323046,848,-1
ZSTK-474,['PI3K inhibitor'],-0.4319425190862603,883,8
R406,['SYK inhibitor'],-0.427607481970564,867,-1
MRS-1220,['adenosine receptor antagonist'],-0.4268411889623567,504,-1
KD025,['rho associated kinase inhibitor'],-0.4266596061828251,905,-1
ziprasidone,"['dopamine receptor antagonist', ' serotonin receptor antagonist']",-0.4223058572223739,885,-1
tirapazamine,['DNA inhibitor'],-0.42099011904682915,787,15
pyrimethamine,['dihydrofolate reductase inhibitor'],-0.41974021083037155,894,-1
trolox,['antioxidant'],-0.4144822421756495,714,-1
paliperidone,"['dopamine receptor antagonist', ' serotonin receptor antagonist']",-0.4140828345844707,838,-1
Y-39983,['rho associated kinase inhibitor'],-0.4098380440460901,837,-1
dabrafenib,['RAF inhibitor'],-0.40959372533527694,920,-1
CB-10-277,['DNA synthesis inhibitor'],-0.40388050360670846,834,-1
acetylcysteine,['mucolytic agent'],-0.4032568117117932,816,-1
candesartan,['angiotensin receptor antagonist'],-0.40254702345857535,774,-1
MK-0773,['androgen receptor modulator'],-0.40153925820481323,721,-1
homosalate,['HSP inducer'],-0.3988258436374918,799,-1
cytochlor,['None'],-0.3982991095206788,889,1
fenofibrate,['PPAR receptor agonist'],-0.3923612588854767,839,-1
taurine,['antioxidant'],-0.3901214794719805,787,-1
PD-98059,['MEK inhibitor'],-0.3894953357993624,626,4
carbachol,['cholinergic receptor agonist'],-0.38908006779800114,696,-1
AT7867,['AKT inhibitor'],-0.3880149385513566,679,-1
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,['serotonin receptor antagonist'],-0.38644973319409126,878,-1
cidofovir,['DNA polymerase inhibitor'],-0.38407026787737764,850,-1
sulfamethazine,['PABA antagonist'],-0.3820474959335664,793,-1
tecastemizole,['histamine receptor antagonist'],-0.3786952561133746,881,0
teriflunomide,['dihydroorotate dehydrogenase inhibitor'],-0.37573774659027204,884,-1
ENMD-2076,"['Aurora kinase inhibitor', ' FLT3 inhibitor', ' VEGFR inhibitor']",-0.37304056125273405,839,-1
canertinib,['EGFR inhibitor'],-0.3711315930204705,925,9
zaleplon,['benzodiazepine receptor agonist'],-0.3700523657364837,867,14
CHIR-98014,['glycogen synthase kinase inhibitor'],-0.3695356210127912,778,-1
LY2603618,['CHK inhibitor'],-0.3686702252280231,925,-1
bitopertin,"['glycine transporter inhibitor', ' GlyT-1 inhibitor']",-0.3678494598058161,877,-1
fudosteine,['mucolytic agent'],-0.36731919702876936,877,-1
ifosfamide,['DNA alkylating agent'],-0.36606292181081757,736,-1
LY2608204,['glucokinase activator'],-0.3653556937701731,890,-1
ammonium-lactate,['None'],-0.3637870507898775,828,1
PD-184352,['MEK inhibitor'],-0.36073808213059383,900,4
BAN-ORL-24,['nociceptin/orphanin FQ receptor antagonist'],-0.36007223279636974,785,-1
birinapant,['XIAP inhibitor'],-0.3542509165058521,893,-1
GW-842166,['cannabinoid receptor agonist'],-0.3519661593127731,882,-1
PAC-1,['caspase activator'],-0.35140294431299773,892,-1
imiquimod,"['interferon inducer', ' toll-like receptor agonist']",-0.3504495341202055,919,-1
tozasertib,"['Aurora kinase inhibitor', ' Bcr-Abl kinase inhibitor', ' FLT3 inhibitor', ' JAK inhibitor']",-0.3473699203199417,925,-1
thioguanine,['purine antagonist'],-0.3406272065729751,922,-1
BMS-986020,['lysophosphatidic acid receptor antagonist'],-0.33752617447936467,881,-1
4-iodo-6-phenylpyrimidine,['macrophage migration inhibiting factor inhibitor'],-0.3359755175338927,872,-1
P5091,['ubiquitin specific protease inhibitor'],-0.33374666936548686,864,-1
cyproheptadine,['histamine receptor antagonist'],-0.33331534735867524,875,0
FR-122047,['cyclooxygenase inhibitor'],-0.3332512105662948,806,10
maytansinol-isobutyrate,['None'],-0.3320775648106391,577,1
naloxone,['opioid receptor antagonist'],-0.3272186024552376,663,-1
hexachlorophene,['potassium channel activator'],-0.32652453031388995,846,-1
vandetanib,"['EGFR inhibitor', ' RET tyrosine kinase inhibitor', ' VEGFR inhibitor']",-0.3256375418891451,899,-1
arcyriaflavin-a,['CDK inhibitor'],-0.3248352558969019,892,16
TAK-733,['MEK inhibitor'],-0.3241942843939483,909,4
MGCD-265,['VEGFR inhibitor'],-0.32370996318217543,850,-1
broxaldine,['None'],-0.32345145576356366,892,1
tanespimycin,['HSP inhibitor'],-0.32003570662818387,925,17
galeterone,['androgen receptor modulator'],-0.31552895332140946,826,-1
piretanide,['glucocorticoid receptor agonist'],-0.30734152526848546,794,3
repsox,['TGF beta receptor inhibitor'],-0.30713464982969146,896,-1
NAN-190,['serotonin receptor agonist'],-0.3070841979105944,777,-1
methylphenidate,['dopamine-norepinephrine reuptake inhibitor'],-0.306862479410904,782,-1
ZK-93426,['benzodiazepine receptor antagonist'],-0.3058333212136192,876,-1
trifluridine,"['DNA directed DNA polymerase inhibitor', ' thymidylate synthase inhibitor']",-0.3033037340859169,908,-1
ARRY-334543,['EGFR inhibitor'],-0.30227552877264374,899,9
AT-7519,['CDK inhibitor'],-0.29978476491807377,925,16
fludarabine,['ribonucleotide reductase inhibitor'],-0.2982800179978755,815,-1
nithiamide,['bacterial DNA inhibitor'],-0.29490822869157174,773,-1
BMS-707035,['HIV integrase inhibitor'],-0.29359603240038534,799,-1
betulinic-acid,"['apoptosis stimulant', ' NFkB pathway inhibitor']",-0.2931212200184581,697,-1
GW-3965,['LXR agonist'],-0.29289026128344836,835,-1
fenoprofen,['prostaglandin inhibitor'],-0.2921190503150426,778,-1
deoxycorticosterone-acetate,['progestogen hormone'],-0.29169407093572547,894,-1
BIBU-1361,['EGFR inhibitor'],-0.2889998233782205,915,9
carvedilol,['adrenergic receptor antagonist'],-0.288762583610662,815,18
PFK-015,['phosphofructokinase inhibitor'],-0.288061897327424,688,-1
AEE788,"['EGFR inhibitor', ' VEGFR inhibitor']",-0.28766023155679477,878,-1
etomoxir,['carnitine palmitoyltransferase inhibitor'],-0.2861155257150412,848,-1
D-4476,['TGF beta receptor inhibitor'],-0.2846174089296814,853,-1
baricitinib,['JAK inhibitor'],-0.2824159052921104,826,-1
imidapril,['angiotensin converting enzyme inhibitor'],-0.2803039416085419,838,-1
SB-590885,['RAF inhibitor'],-0.27759244323758453,865,-1
aminopurvalanol-a,"['CDK inhibitor', ' tyrosine kinase inhibitor']",-0.27654047176150787,924,-1
vincristine,['tubulin polymerization inhibitor'],-0.27573187556769135,908,19
flutamide,['androgen receptor antagonist'],-0.27234547281248017,809,-1
BI-D1870,['ribosomal protein inhibitor'],-0.2722880273976269,840,-1
RS-67506,['serotonin receptor partial agonist'],-0.2707857685492595,718,-1
PD-0325901,['MEK inhibitor'],-0.2672698299009396,897,4
temsirolimus,['mTOR inhibitor'],-0.266378373018439,917,20
diphemanil,['acetylcholine receptor antagonist'],-0.2655088387334966,845,-1
salidroside,['beta amyloid protein neurotoxicity inhibitor'],-0.2651176202197586,870,-1
PI-103,"['mTOR inhibitor', ' PI3K inhibitor']",-0.2637665248092135,880,-1
satraplatin,['DNA alkylating agent'],-0.2630875187921136,886,-1
CGP-52411,['EGFR inhibitor'],-0.26230638513951876,836,9
ranitidine,['histamine receptor antagonist'],-0.2622494108056342,642,0
NSC-632839,['ubiquitin specific protease inhibitor'],-0.26152012974859384,886,-1
latrepirdine,['glutamate receptor antagonist'],-0.2603013520486777,669,12
orantinib,"['FGFR inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.26017481692037464,789,-1
chicago-sky-blue-6b,"['glutamate inhibitor', ' macrophage migration inhibiting factor inhibitor']",-0.2587904612333337,813,-1
TAK-715,['p38 MAPK inhibitor'],-0.2585363504206999,739,-1
famotidine,['histamine receptor antagonist'],-0.25745087525425137,793,0
amisulpride,['dopamine receptor antagonist'],-0.2532960976522342,803,13
narasin,['antiprotozoal agent'],-0.25262250476299153,853,-1
2-methoxyestradiol,['hypoxia inducible factor inhibitor'],-0.25103467826484066,925,-1
chromocarb,['antispasmodic'],-0.2508691461225367,847,-1
SB-743921,['kinesin-like spindle protein inhibitor'],-0.2506444157685779,330,-1
equol,['estrogen receptor agonist'],-0.2506069714828068,823,-1
BMS-265246,['CDK inhibitor'],-0.2487099394172498,924,16
methyldopa,['adrenergic receptor agonist'],-0.24765069361824438,822,2
racecadotril,['enkephalinase inhibitor'],-0.24629383007901517,771,-1
abiraterone-acetate,['androgen biosynthesis inhibitor'],-0.24602515123127447,731,-1
eplerenone,['cytochrome P450 inhibitor'],-0.24310523800099976,869,-1
parthenolide-(-),['NFkB pathway inhibitor'],-0.24151867628282883,903,-1
niridazole,['phosphofructokinase inhibitor'],-0.2394112634604441,741,-1
MEK1-2-inhibitor,['MEK inhibitor'],-0.2390867634045659,849,4
canrenone,['mineralocorticoid receptor antagonist'],-0.23844993612561977,888,-1
cytarabine,['ribonucleotide reductase inhibitor'],-0.23836602235565443,778,-1
XL-647,"['EGFR inhibitor', ' VEGFR inhibitor']",-0.23526681245117312,817,-1
aripiprazole,"['serotonin receptor agonist', ' serotonin receptor antagonist']",-0.23461150614444826,76,-1
lorazepam,['benzodiazepine receptor agonist'],-0.2344420556461248,844,14
linalool,['anticonvulsant'],-0.23238288850272232,772,-1
bifemelane,['acetylcholine release enhancer'],-0.23063763088762484,839,-1
daunorubicin,"['RNA synthesis inhibitor', ' topoisomerase inhibitor']",-0.2291402416920609,922,-1
oridonin,['BCL inhibitor'],-0.22688358196504133,873,-1
prednisolone-acetate,['glucocorticoid receptor agonist'],-0.22677529938959853,791,3
napabucasin,['STAT inhibitor'],-0.22593748441671696,877,-1
AZ960,['JAK inhibitor'],-0.22423898345500656,858,-1
prazosin,['adrenergic receptor antagonist'],-0.2227968693180825,798,18
metoprolol,['adrenergic receptor antagonist'],-0.22198193733085686,737,18
ebastine,['histamine receptor antagonist'],-0.221515293756246,881,0
exemestane,['aromatase inhibitor'],-0.2211267208995488,675,-1
metoxibutropate,['cyclooxygenase inhibitor'],-0.21861627886978263,751,10
CHIR-124,['CHK inhibitor'],-0.2184697996162427,859,-1
aurora-a-inhibitor-i,['Aurora kinase inhibitor'],-0.2163859980468605,878,21
clonazepam,['GABA benzodiazepine site receptor agonist'],-0.21544450636654422,855,-1
PSB-1115,['adenosine receptor antagonist'],-0.2140354490646553,813,-1
ACDPP,['glutamate receptor antagonist'],-0.20950530933588427,787,12
k-strophanthidin,['ATPase inhibitor'],-0.20901998439362207,172,-1
JNJ-26481585,['HDAC inhibitor'],-0.2082576331426108,688,11
MK-1775,['WEE1 kinase inhibitor'],-0.20825619971939066,925,-1
digoxigenin,['steroid'],-0.20817150745147867,898,-1
NSC-663284,['CDC inhibitor'],-0.2073307398980121,897,-1
foretinib,['VEGFR inhibitor'],-0.20687509822770037,924,-1
STA-5326,['interleukin synthesis inhibitor'],-0.20662432064080943,911,-1
cefditoren-pivoxil,['bacterial cell wall synthesis inhibitor'],-0.2043303745166876,910,-1
ginkgolide-a,['GABA receptor antagonist'],-0.20367240715939158,905,-1
BIBR-1532,['telomerase inhibitor'],-0.20340151319904845,907,-1
SB-216641,['serotonin receptor antagonist'],-0.20263128739909408,892,-1
poziotinib,['EGFR inhibitor'],-0.20247369059903728,914,9
dalcetrapib,['cholesteryl ester transfer protein inhibitor'],-0.2021871033313738,772,-1
BNTX,['opioid receptor antagonist'],-0.19960175628429289,857,-1
VS-4718,['focal adhesion kinase inhibitor'],-0.19867135795709354,825,-1
thiomersal,['other antibiotic'],-0.19626317331201773,912,-1
digitoxin,['ATPase inhibitor'],-0.1954118210260768,719,-1
entinostat,['HDAC inhibitor'],-0.19541167768337322,898,11
imatinib,"['Bcr-Abl kinase inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor']",-0.1947392667229138,917,-1
difluprednate,['glucocorticoid receptor agonist'],-0.19436578489023426,865,3
rucinol,['tyrosinase inhibitor'],-0.19275495098305165,834,-1
gestrinone,['progesterone receptor antagonist'],-0.19269374958524127,824,-1
evacetrapib,['cholesteryl ester transfer protein inhibitor'],-0.18776024124967175,830,-1
indiplon,['benzodiazepine receptor agonist'],-0.18615820691054247,906,14
tosedostat,['peptidase inhibitor'],-0.1856487009719777,873,-1
WZ8040,['EGFR inhibitor'],-0.18455072033831058,893,9
SR-57227A,['serotonin receptor agonist'],-0.18453019063008075,859,-1
BW-180C,['opioid receptor agonist'],-0.18372206951354625,739,-1
PP-1,['src inhibitor'],-0.18187800716894034,857,-1
AZD7762,['CHK inhibitor'],-0.18187135948419808,873,-1
AEG3482,['HSP inducer'],-0.18017443566050897,889,-1
"CP-945,598",['cannabinoid receptor antagonist'],-0.17952362948977466,861,-1
etoposide,['topoisomerase inhibitor'],-0.17849812214119345,894,6
FLI-06,['notch signaling inhibitor'],-0.17779164599468408,857,-1
sulfasalazine,['cyclooxygenase inhibitor'],-0.17617586729745272,746,10
foscarnet,['DNA polymerase inhibitor'],-0.17564702339115404,885,-1
clindamycin-phosphate,['protein synthesis inhibitor'],-0.17548588482320013,873,5
TMS,['None'],-0.17499325195562415,902,1
salvinorin-a,['opioid receptor agonist'],-0.17417668666332675,845,-1
AZD1480,['JAK inhibitor'],-0.17241846809843575,782,-1
nadifloxacin,['bacterial DNA gyrase inhibitor'],-0.17231693267512688,634,-1
XBD173,['benzodiazepine receptor ligand'],-0.17036159009048715,770,-1
thiram,['None'],-0.17000459870957166,805,1
CGS-15943,['adenosine receptor antagonist'],-0.1698821998811248,846,-1
tepoxalin,"['cyclooxygenase inhibitor', ' lipoxygenase inhibitor']",-0.16891224193144008,852,-1
benzyldimethylhexadecylammonium,['cationic surfactant'],-0.16838978689690814,883,-1
PTC-209,['BMI-1 inhibitor'],-0.168049944565974,819,-1
obatoclax,['BCL inhibitor'],-0.16731035044589695,925,-1
amonafide,['topoisomerase inhibitor'],-0.16635414765038178,914,6
oltipraz,"['nuclear factor erythroid derived', ' like (NRF2) activator']",-0.16583393399742413,925,-1
cefdinir,['bacterial cell wall synthesis inhibitor'],-0.16486192092731256,900,-1
tyrphostin-A9,"['protein tyrosine kinase inhibitor', ' tyrosine kinase inhibitor']",-0.16400279433411552,896,-1
GW-843682X,['PLK inhibitor'],-0.16368381200017945,907,-1
doxercalciferol,['vitamin D receptor agonist'],-0.16311571340226474,754,-1
terfenadine,['histamine receptor antagonist'],-0.16305571079281095,792,0
mibefradil,['T-type calcium channel blocker'],-0.1627798412697876,826,-1
bortezomib,"['NFkB pathway inhibitor', ' proteasome inhibitor']",-0.16184603371243292,925,-1
tivozanib,['VEGFR inhibitor'],-0.16100429119412804,925,-1
asymmetrical-dimethylarginine,['nitric oxide synthase inhibitor'],-0.1586995708853471,853,-1
10-deacetylbaccatin,['antitumor agent'],-0.1574528347785585,914,-1
xilobam,['None'],-0.1516942877875292,799,1
XL888,['HSP inhibitor'],-0.14678132256873658,853,17
belinostat,['HDAC inhibitor'],-0.14515998878671205,925,11
SC-12267,['dihydroorotate dehydrogenase inhibitor'],-0.14464223011676805,809,-1
tandutinib,"['FLT3 inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor']",-0.14373691329988914,818,-1
clofarabine,['ribonucleotide reductase inhibitor'],-0.14326903858602782,894,-1
BI-78D3,['JNK inhibitor'],-0.14217781488878875,826,-1
parachlorophenol,['antiinfective drug'],-0.1420102977188233,725,-1
BIIB021,['HSP inhibitor'],-0.14151792472952895,919,17
sodium-tanshinone-ii-a-sulfonate,['potassium channel activator'],-0.14042131911298963,881,-1
ryuvidine,['histone lysine methyltransferase inhibitor'],-0.1403123447308655,912,-1
colchicine,['microtubule inhibitor'],-0.13924220029678752,808,-1
clofazimine,['GK0582 inhibitor'],-0.13879377325466585,833,-1
naltrexone,['opioid receptor antagonist'],-0.13858613948311954,706,-1
abiraterone,['androgen biosynthesis inhibitor'],-0.13807586843191372,755,-1
amprolium,['thiamine uptake blocker'],-0.1379567983966844,802,-1
IKK-16,['IKK inhibitor'],-0.13695383162480892,896,-1
YM-155,['survivin inhibitor'],-0.13660220417671298,909,-1
