drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
7-aminocephalosporanic-acid,['beta lactamase inhibitor'],0.5763273722518366,762,-1
venetoclax,['BCL inhibitor'],0.5823829943530626,919,-1
MLN0128,['mTOR inhibitor'],0.5892666178858044,925,20
TAK-285,['EGFR inhibitor'],0.5894620145519289,900,9
PETCM,['caspase activator'],0.5923298768889036,874,-1
beclomethasone-dipropionate,['glucocorticoid receptor agonist'],0.5923759251106196,794,3
minocycline,['bacterial 30S ribosomal subunit inhibitor'],0.5936729108374249,661,-1
oxymatrine,['None'],0.5970228228303609,813,1
sunitinib,"['FLT3 inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' RET tyrosine kinase inhibitor', ' VEGFR inhibitor']",0.601211569559882,925,-1
CYC116,['Aurora kinase inhibitor'],0.6018160610841735,846,21
tasisulam,['apoptosis stimulant'],0.6025102385321034,925,-1
ponatinib,"['Bcr-Abl kinase inhibitor', ' FLT3 inhibitor', ' PDGFR tyrosine kinase receptor inhibitor']",0.603213844636439,913,-1
clenbuterol,['adrenergic receptor agonist'],0.6042894679505397,802,2
desoxycortone,['mineralocorticoid receptor agonist'],0.6047294804574566,808,-1
CEP-32496,['RAF inhibitor'],0.6055248095990443,802,-1
TMC-353121,['RSV fusion inhibitor'],0.6075476497523753,888,-1
ADL5859,['opioid receptor agonist'],0.6107081130551307,842,-1
RN-1734,['TRPV antagonist'],0.6107660202559795,865,-1
ZLN005,['None'],0.6124085443379974,832,1
riboflavin,['vitamin B2'],0.6125055031246088,741,-1
NSC-3852,['HDAC inhibitor'],0.6143760709311177,859,11
ICG-001,['beta-catenin inhibitor'],0.6147600466872022,907,-1
JQ1-(+),['bromodomain inhibitor'],0.6172865946793413,855,-1
prednisolone,['glucocorticoid receptor agonist'],0.6205445677245552,738,3
navarixin,['CC chemokine receptor antagonist'],0.621949932299567,810,-1
homoquinolinic-acid,['glutamate receptor agonist'],0.6221881974519099,838,-1
AST-1306,['EGFR inhibitor'],0.6239424292851583,750,9
pevonedistat,['nedd activating enzyme inhibitor'],0.6244747287427117,921,-1
albendazole,['tubulin polymerization inhibitor'],0.6262293176881393,854,19
12-O-tetradecanoylphorbol-13-acetate,['PKC activator'],0.6310429306162041,826,-1
baicalin,['beta glucuronidase inhibitor'],0.632881755202647,798,-1
U-0126,['MEK inhibitor'],0.6345194093393277,922,4
linsitinib,['IGF-1 inhibitor'],0.6369918809975893,871,-1
chlorhexidine,['membrane integrity inhibitor'],0.637270510321604,806,-1
MK-2206,['AKT inhibitor'],0.6389418329687795,752,-1
AMG-232,['MDM inhibitor'],0.6439541660052229,833,-1
methacycline,['protein synthesis inhibitor'],0.6453161623602033,913,5
GSK1904529A,"['IGF-1 inhibitor', ' insulin growth factor receptor inhibitor', ' insulin receptor ligand']",0.6466583841271237,811,-1
apatinib,['RET tyrosine kinase inhibitor'],0.6531247648322049,855,-1
AMG900,['Aurora kinase inhibitor'],0.6535934469014845,888,21
1-azakenpaullone,['glycogen synthase kinase inhibitor'],0.6538143045203194,875,-1
PHA-848125,"['CDK inhibitor', ' growth factor receptor inhibitor']",0.6574259811053229,925,-1
buthionine-sulfoximine,['glutathione transferase inhibitor'],0.6591318615676811,751,-1
1-phenylbiguanide,['serotonin receptor agonist'],0.6595027173244682,722,-1
SB-242235,['p38 MAPK inhibitor'],0.6596536582972169,815,-1
FR-139317,['endothelin receptor antagonist'],0.6605722897111581,841,-1
rimexolone,['glucocorticoid receptor agonist'],0.6636641079126626,812,3
astemizole,['histamine receptor antagonist'],0.6656904331296303,828,0
propranolol,['adrenergic receptor antagonist'],0.6656953918857307,734,18
zolantidine,['histamine receptor antagonist'],0.6666370200311096,518,0
dasatinib,"['Bcr-Abl kinase inhibitor', ' ephrin inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' src inhibitor', ' tyrosine kinase inhibitor']",0.6687919641210691,910,-1
piperine,['monoamine oxidase inhibitor'],0.6700173950387501,879,-1
spermidine,['glutamate receptor modulator'],0.6710072345078595,878,-1
favipiravir,['RNA polymerase inhibitor'],0.6751085133536049,800,-1
barasertib,['Aurora kinase inhibitor'],0.6774734145791321,925,21
norethindrone-acetate,['progesterone receptor agonist'],0.6798325434858777,737,-1
sparfloxacin,['bacterial DNA gyrase inhibitor'],0.680154831351286,874,-1
idelalisib,['PI3K inhibitor'],0.6807048028272497,889,8
fluroxene,['local anesthetic'],0.6811802817338579,867,-1
atiprimod,"['JAK inhibitor', ' STAT inhibitor']",0.6838881710258192,798,-1
adefovir-dipivoxil,['DNA polymerase inhibitor'],0.6862915409654502,727,-1
K-Ras(G12C)-inhibitor-6,['K-ras inhibitor'],0.6868234862416973,882,-1
NVP-AEW541,['IGF-1 inhibitor'],0.6886000845202445,730,-1
idasanutlin,['MDM inhibitor'],0.6901982318415658,925,-1
ONC201,"['AKT inhibitor', ' MAP kinase inhibitor']",0.6946984310583698,847,-1
raloxifene,"['estrogen receptor antagonist', ' selective estrogen receptor modulator (SERM)']",0.6961522715456155,666,-1
P22077,['ubiquitin specific protease inhibitor'],0.7071147664810544,856,-1
clofibrate,['PPAR receptor agonist'],0.707357118030107,648,-1
fluticasone-propionate,['glucocorticoid receptor agonist'],0.7161488314030763,727,3
felbamate,['glutamate receptor antagonist'],0.7197532265708793,788,12
AVN-944,['inosine monophosphate dehydrogenase inhibitor'],0.7367841339642276,925,-1
GS-39783,['GABA receptor modulator'],0.7374489960000761,809,-1
latanoprost,['prostanoid receptor agonist'],0.7387112142689028,820,-1
bephenium-hydroxynaphthoate,['anthelmintic agent'],0.7412567197011881,787,-1
CNX-2006,['EGFR inhibitor'],0.7462968309307829,826,9
CCT128930,['AKT inhibitor'],0.7501904820920354,875,-1
fludroxycortide,['glucocorticoid receptor agonist'],0.7508777465765795,827,3
torasemide,"['electrolyte reabsorption inhibitor', ' thromboxane receptor antagonist']",0.7514725412435053,815,-1
acetophenazine,['dopamine receptor antagonist'],0.7557106314655978,802,13
picolinic-acid,['chelating agent'],0.7557390732967167,842,-1
BMS-345541,['IKK inhibitor'],0.7566971075379528,857,-1
barasertib-HQPA,['Aurora kinase inhibitor'],0.762048549765904,827,21
TU-2100,['None'],0.7631050097322315,718,1
artemisinin,['DNA synthesis inhibitor'],0.7737522269325585,853,-1
NVP-BEZ235,"['mTOR inhibitor', ' PI3K inhibitor']",0.7786264962296019,920,-1
irinotecan,['topoisomerase inhibitor'],0.7805731018347254,922,6
tideglusib,['glycogen synthase kinase inhibitor'],0.7817921698666931,871,-1
AM-251,['cannabinoid receptor antagonist'],0.7831618790738015,900,-1
PQ-401,['IGF-1 inhibitor'],0.7837673534717311,789,-1
erastin,['ion channel antagonist'],0.7856707536713143,713,-1
cyproterone-acetate,['androgen receptor antagonist'],0.7907710251954527,697,-1
GDC-0879,['RAF inhibitor'],0.7930056618546641,795,-1
alfacalcidol,['vitamin D receptor agonist'],0.8013662112646133,906,-1
N-acetylmannosamine,['None'],0.8038458751832445,721,1
flumethasone,['glucocorticoid receptor agonist'],0.8061183990406507,840,3
bindarit,['NFkB pathway inhibitor'],0.813361708243596,816,-1
levobunolol,['adrenergic receptor antagonist'],0.8136887226392231,791,18
TC1,['beta-secretase inhibitor'],0.816047028936835,796,-1
meloxicam,['cyclooxygenase inhibitor'],0.8179830528584745,812,10
nutlin-3,['MDM inhibitor'],0.8199098636736731,819,-1
estradiol-cypionate,['estrogen receptor agonist'],0.8201124084778336,864,-1
ZM-306416,"['Abl kinase inhibitor', ' src inhibitor', ' VEGFR inhibitor']",0.8220507653954421,889,-1
brequinar,['dihydroorotate dehydrogenase inhibitor'],0.8222438101363398,925,-1
tamibarotene,['retinoid receptor agonist'],0.8235125833499762,921,-1
DVD-111,['None'],0.8242503482785961,810,1
caffeic-acid,"['HIV integrase inhibitor', ' lipoxygenase inhibitor', ' nitric oxide production inhibitor', ' tumor necrosis factor production inhibitor']",0.8258741261261567,792,-1
isofloxythepin,['dopamine receptor antagonist'],0.8322059996972075,863,13
CHIR-99021,['glycogen synthase kinase inhibitor'],0.8332561907218682,822,-1
BAM7,['BAX activator'],0.8353086983336016,851,-1
GDC-0068,['AKT inhibitor'],0.8357256416697296,873,-1
atorvastatin,['HMGCR inhibitor'],0.8496579325732018,858,-1
TG100-115,['PI3K inhibitor'],0.8506456702413648,830,8
AM-580,['retinoid receptor agonist'],0.8582116473186975,720,-1
VTP-27999,['renin inhibitor'],0.8746680176510913,642,-1
zolmitriptan,['serotonin receptor agonist'],0.8789386025453952,893,-1
gefitinib,['EGFR inhibitor'],0.8814852038074535,922,9
LGX818,['RAF inhibitor'],0.8835100760842137,868,-1
linifanib,"['PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",0.8835365802332485,925,-1
erythritol,['None'],0.8836717814906956,863,1
